ElemID,PointID,x,y,sigma_x,sigma_y,tau_xy,VonMises
1.800000000000000000e+01,0.000000000000000000e+00,5.916566469341317802e-01,7.812499999999999133e-03,1.700256532715394133e+04,5.369224488285178086e+04,-1.626482628848295426e+05,2.856963610994019546e+05
1.800000000000000000e+01,1.000000000000000000e+00,5.625000000000000000e-01,0.000000000000000000e+00,-4.146233512550419391e+02,1.279642556795261953e+03,-1.626223005612941924e+05,2.816742407229060191e+05
1.800000000000000000e+01,2.000000000000000000e+00,5.937500000000000000e-01,0.000000000000000000e+00,-1.259624337631673370e+03,-6.912740021801769217e+03,-1.620416066147852689e+05,2.807367307557247113e+05
1.800000000000000000e+01,3.000000000000000000e+00,6.208132938682636714e-01,1.562499999999999827e-02,3.498754089113892405e+04,1.076194658522107784e+05,-1.607329495682825509e+05,2.941869817250547931e+05
1.800000000000000000e+01,4.000000000000000000e+00,5.895632938682636714e-01,1.562499999999999827e-02,2.848425382516030731e+04,9.207356354019205901e+04,-1.610114638218647451e+05,2.905861688220536453e+05
1.900000000000000000e+01,0.000000000000000000e+00,6.229066469341317802e-01,7.812499999999999133e-03,1.858656024932027503e+04,5.510662188152997987e+04,-1.597020276743930008e+05,2.808418956980879302e+05
1.900000000000000000e+01,1.000000000000000000e+00,5.937500000000000000e-01,0.000000000000000000e+00,-3.993883583100061401e+02,1.545409462111484572e+03,-1.627451861026916304e+05,2.818885450294380425e+05
1.900000000000000000e+01,2.000000000000000000e+00,6.250000000000000000e-01,0.000000000000000000e+00,-1.298799367701977189e+03,-7.316475140215951797e+03,-1.588181968448862026e+05,2.751642673062257818e+05
1.900000000000000000e+01,3.000000000000000000e+00,6.520632938682636714e-01,1.562499999999999827e-02,3.813983983644258115e+04,1.102813049684391881e+05,-1.545786078904562746e+05,2.847703291283969302e+05
1.900000000000000000e+01,4.000000000000000000e+00,6.208132938682636714e-01,1.562499999999999827e-02,3.139831652593740364e+04,9.422867369940596109e+04,-1.582836554107134580e+05,2.864741213717415230e+05
2.000000000000000000e+01,0.000000000000000000e+00,6.541566469341317802e-01,7.812499999999999133e-03,2.022551736796895420e+04,5.630577024036072544e+04,-1.531822153344572871e+05,2.698795495504710707e+05
2.000000000000000000e+01,1.000000000000000000e+00,6.250000000000000000e-01,0.000000000000000000e+00,-4.538034788705280107e+02,1.754451959033411413e+03,-1.595262462490161997e+05,2.763149470126105589e+05
2.000000000000000000e+01,2.000000000000000000e+00,6.562500000000000000e-01,0.000000000000000000e+00,-1.307825985926095200e+03,-7.796096557683442370e+03,-1.520262330601375434e+05,2.634164387581857736e+05
2.000000000000000000e+01,3.000000000000000000e+00,6.833132938682636714e-01,1.562499999999999827e-02,4.144672855339643866e+04,1.126007641342807183e+05,-1.445667184843779542e+05,2.691253209295782144e+05
2.000000000000000000e+01,4.000000000000000000e+00,6.520632938682636714e-01,1.562499999999999827e-02,3.439814089561381115e+04,9.593452980027080048e+04,-1.520166683306634368e+05,2.764306404567231657e+05
2.100000000000000000e+01,0.000000000000000000e+00,6.854066469341317802e-01,7.812499999999999133e-03,2.181519331708517348e+04,5.729398662653267820e+04,-1.427373499234465708e+05,2.522508223145449010e+05
2.100000000000000000e+01,1.000000000000000000e+00,6.562500000000000000e-01,0.000000000000000000e+00,-3.589563223021128238e+02,2.135017409915587450e+03,-1.528156617342532263e+05,2.646947920545710367e+05
2.100000000000000000e+01,2.000000000000000000e+00,6.875000000000000000e-01,0.000000000000000000e+00,-1.579523863891745123e+03,-8.321933527559995127e+03,-1.410054356422405981e+05,2.443485285870315856e+05
2.100000000000000000e+01,3.000000000000000000e+00,7.145632938682636714e-01,1.562499999999999827e-02,4.479458098028983659e+04,1.141096523708065070e+05,-1.305959963518606091e+05,2.471477614202378318e+05
2.100000000000000000e+01,4.000000000000000000e+00,6.833132938682636714e-01,1.562499999999999827e-02,3.705965934626890521e+04,9.676983315971438424e+04,-1.415848864410240785e+05,2.594039361965797434e+05
2.200000000000000000e+01,0.000000000000000000e+00,7.166566469341317802e-01,7.812499999999999133e-03,2.334896160815047187e+04,5.768019097775572300e+04,-1.281712884657232498e+05,2.276159999552091758e+05
2.200000000000000000e+01,1.000000000000000000e+00,6.875000000000000000e-01,0.000000000000000000e+00,-2.004269090421847181e+02,2.447914381525063618e+03,-1.420714344321921235e+05,2.460881966461216507e+05
2.200000000000000000e+01,2.000000000000000000e+00,7.187500000000000000e-01,0.000000000000000000e+00,-1.463785844087915848e+03,-8.329124825372013220e+03,-1.262502001825843472e+05,2.188073675011168816e+05
2.200000000000000000e+01,3.000000000000000000e+00,7.458132938682636714e-01,1.562499999999999827e-02,4.755547695269169344e+04,1.147043014750026923e+05,-1.119697861861705314e+05,2.181180447730710730e+05
2.200000000000000000e+01,4.000000000000000000e+00,7.145632938682636714e-01,1.562499999999999827e-02,4.019827561779232201e+04,9.754331749570721877e+04,-1.274723852890091657e+05,2.365526453522658849e+05
2.300000000000000000e+01,0.000000000000000000e+00,7.479066469341317802e-01,7.812499999999999133e-03,2.542409314688013910e+04,5.815031389068518911e+04,-1.093504273711839196e+05,1.960152351727565692e+05
2.300000000000000000e+01,1.000000000000000000e+00,7.187500000000000000e-01,0.000000000000000000e+00,-9.336241901181155072e+02,2.197285977109253508e+03,-1.268018089671434718e+05,2.196448210888530302e+05
2.300000000000000000e+01,2.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00,-8.189610905491286985e+02,-9.564930245010795261e+03,-1.078093852954602335e+05,1.869569895872049674e+05
2.300000000000000000e+01,3.000000000000000000e+00,7.770632938682636714e-01,1.562499999999999827e-02,5.165524123969016364e+04,1.167849030167748570e+05,-8.809136855654299143e+04,1.831794006545955490e+05
2.300000000000000000e+01,4.000000000000000000e+00,7.458132938682636714e-01,1.562499999999999827e-02,4.417107307039525767e+04,9.777518495352166065e+04,-1.095647221370170155e+05,2.078593771296291088e+05
2.400000000000000000e+01,0.000000000000000000e+00,7.791566469341317802e-01,7.812499999999999133e-03,2.686242985135304480e+04,5.876332786814140127e+04,-8.485231337940107915e+04,1.555504365936521499e+05
2.400000000000000000e+01,1.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00,-2.316546777320036199e+01,4.389792878103492512e+03,-1.085963848805161979e+05,1.881459458428711805e+05
2.400000000000000000e+01,2.000000000000000000e+00,7.812500000000000000e-01,0.000000000000000000e+00,-3.047265271702770860e+03,-1.073081983817979562e+04,-8.040333493108440598e+04,1.395916382507427479e+05
2.400000000000000000e+01,3.000000000000000000e+00,8.083132938682636714e-01,1.562499999999999827e-02,5.599278277596535190e+04,1.141897428476058703e+05,-6.036478715933482454e+04,1.439180677137684543e+05
2.400000000000000000e+01,4.000000000000000000e+00,7.770632938682636714e-01,1.562499999999999827e-02,4.468909144422172540e+04,9.441034250269764743e+04,-8.341792675093836442e+04,1.660330290830053273e+05
2.500000000000000000e+01,0.000000000000000000e+00,8.104066469341317802e-01,7.812499999999999133e-03,2.663845972245035591e+04,5.389244221338137868e+04,-5.487719275412357820e+04,1.058910292073002638e+05
2.500000000000000000e+01,1.000000000000000000e+00,7.812500000000000000e-01,0.000000000000000000e+00,2.548274819285337799e+03,6.356056803789701007e+03,-8.413760225528845331e+04,1.458358821516567841e+05
2.500000000000000000e+01,2.000000000000000000e+00,8.125000000000000000e-01,0.000000000000000000e+00,-1.114891306353083337e+03,-2.760392405860469353e+03,-5.122892246445215278e+04,8.876369022280702484e+04
2.500000000000000000e+01,3.000000000000000000e+00,8.395632938682636714e-01,1.562499999999999827e-02,5.149677515746436984e+04,1.018420896629291674e+05,-2.528797392017838138e+04,9.847656960188662924e+04
2.500000000000000000e+01,4.000000000000000000e+00,8.083132938682636714e-01,1.562499999999999827e-02,5.009907638940045581e+04,9.838333535931468941e+04,-5.648018624486892804e+04,1.297317162942404539e+05
2.600000000000000000e+01,0.000000000000000000e+00,8.416566469341317802e-01,7.812499999999999133e-03,3.258018292648097486e+04,5.172296981889298331e+04,-2.308597638575551173e+04,6.041917762813122681e+04
2.600000000000000000e+01,1.000000000000000000e+00,8.125000000000000000e-01,0.000000000000000000e+00,-6.718812383700485952e+03,-2.799314098683074917e+03,-4.786819339914597367e+04,8.311595725811307784e+04
2.600000000000000000e+01,2.000000000000000000e+00,8.437500000000000000e-01,0.000000000000000000e+00,7.885366380276186646e+03,-1.268253106318799291e+04,-2.771411414258633158e+04,5.125669097110445000e+04
2.600000000000000000e+01,3.000000000000000000e+00,8.708132938682636714e-01,1.562499999999999827e-02,6.384175258532243606e+04,1.152155537985644187e+05,1.692768014648692042e+04,1.041847848589795904e+05
2.600000000000000000e+01,4.000000000000000000e+00,8.395632938682636714e-01,1.562499999999999827e-02,6.252925820771109284e+04,9.788094758449481742e+04,-3.181460561805003090e+04,1.020130990550483111e+05
2.700000000000000000e+01,0.000000000000000000e+00,8.729066469341317802e-01,7.812499999999999133e-03,3.687623158086887997e+04,7.099328387517716328e+04,1.942879036446463215e+04,7.010257997533974412e+04
2.700000000000000000e+01,1.000000000000000000e+00,8.437500000000000000e-01,0.000000000000000000e+00,-4.876044837735802503e+03,-1.629077752251931770e+02,-2.034094085114954214e+04,3.555656944527013547e+04
2.700000000000000000e+01,2.000000000000000000e+00,8.750000000000000000e-01,0.000000000000000000e+00,-3.035146870300746741e+04,-7.501526822991447989e+04,5.111398854767694866e+04,1.100436187603072613e+05
2.700000000000000000e+01,3.000000000000000000e+00,9.020632938682636714e-01,1.562499999999999827e-02,1.094755375882805529e+05,1.343169816364040307e+05,3.809351394168126717e+04,1.402671327416076674e+05
2.700000000000000000e+01,4.000000000000000000e+00,8.708132938682636714e-01,1.562499999999999827e-02,4.594611173911418518e+03,-4.039973803981314632e+03,5.509782411239312205e+04,9.572515142176060181e+04
2.800000000000000000e+01,0.000000000000000000e+00,9.041566469341317802e-01,7.812499999999999133e-03,1.911848376442500012e+04,4.839592602732172236e+04,7.813232943732908461e+04,1.417618004308102536e+05
