x,y,w,theta_x,theta_y
4.748797632095822507e-01,9.374999999999998612e-02,-2.743907652155831950e-06,-3.560906681814192062e-07,-2.519489018121822663e-07
5.061297632095822507e-01,9.374999999999998612e-02,-3.263778786400131492e-06,-4.079340354775475934e-07,-2.672739410529033876e-07
5.373797632095822507e-01,9.374999999999998612e-02,-3.810209246368940700e-06,-4.589038052352703875e-07,-2.783971414937140214e-07
5.686297632095822507e-01,9.374999999999998612e-02,-4.374148400759814384e-06,-5.077137831736177689e-07,-2.846808486468303949e-07
5.998797632095822507e-01,9.374999999999998612e-02,-4.945315467336295157e-06,-5.530110848594619000e-07,-2.855281142104910002e-07
6.311297632095822507e-01,9.374999999999998612e-02,-5.512256948211657269e-06,-5.933656330237934332e-07,-2.803673671013222860e-07
6.623797632095822507e-01,9.374999999999998612e-02,-6.062391539987406300e-06,-6.272851439328192904e-07,-2.686553445333257948e-07
6.936297632095822507e-01,9.374999999999998612e-02,-6.582178762516021886e-06,-6.533695859319558983e-07,-2.499622761907295790e-07
7.248797632095822507e-01,9.374999999999998612e-02,-7.057578385592098724e-06,-6.706008517283020092e-07,-2.242012945553704841e-07
7.561297632095822507e-01,9.374999999999998612e-02,-7.474499543876300375e-06,-6.780145187994641579e-07,-1.914756663189450876e-07
7.873797632095822507e-01,9.374999999999998612e-02,-7.818213040778999932e-06,-6.733683461874858023e-07,-1.509769926535241544e-07
8.186297632095822507e-01,9.374999999999998612e-02,-8.071505474259762014e-06,-6.532972319956961970e-07,-1.006761635724614238e-07
8.498797632095822507e-01,9.374999999999998612e-02,-8.213349102970021517e-06,-6.159941991792859953e-07,-3.906020425765422659e-08
8.811297632095822507e-01,9.374999999999998612e-02,-8.219598647766658737e-06,-5.615166911101362288e-07,3.472822707576897773e-08
